contactCounter,Cell Type,Cell ID,Block Number
1,12,944,2
1,12,945,2
1,12,946,2
1,12,947,2
1,12,948,2
1,12,949,2
4,12,950,2
2,12,951,2
1,12,952,2
1,12,953,2
1,12,954,2
4,12,955,2
6,12,956,2
1,12,957,2
3,12,958,2
3,12,959,2
1,12,960,2
1,12,961,2
2,12,962,2
1,12,963,2
1,12,964,2
1,12,965,2
1,12,966,2
2,12,967,2
2,12,968,2
1,12,969,2
2,12,970,2
7,12,971,2
1,12,972,2
3,12,973,2
2,12,974,2
1,12,975,2
2,12,976,2
1,12,977,2
8,12,978,2
3,12,979,2
6,12,980,2
11,12,981,2
3,12,982,2
15,12,983,2
18,12,984,2
2,12,985,2
1,12,986,2
3,12,987,2
6,12,988,2
2,12,989,2
12,12,990,2
4,12,991,2
2,12,992,2
3,12,993,2
1,12,994,2
1,12,995,2
1,12,996,2
11,12,997,2
6,12,998,2
1,12,999,2
2,12,1000,2
1,12,1001,2
4,12,1002,2
2,12,1003,2
2,12,1004,2
1,12,1005,2
1,12,1006,2
3,12,1007,2
1,12,1008,2
1,12,1009,2
2,12,1010,2
2,12,1011,2
11,12,1012,2
1,12,1013,2
1,12,1014,2
1,12,1015,2
3,12,1016,2
1,12,1017,2
2,12,1018,2
1,12,1019,2
4,12,1020,2
2,12,1021,2
1,12,1022,2
1,12,1023,2
1,12,1024,2
1,12,1025,2
1,12,1026,2
1,12,1027,2
1,12,1028,2
2,12,1029,2
1,12,1030,2
1,12,1031,2
1,12,1032,2
1,12,1033,2
1,12,1034,2
4,12,1035,2
1,12,1036,2
1,12,1037,2
1,12,1038,2
1,12,1039,2
18,12,1040,2
2,12,1041,2
6,12,1042,2
14,12,1043,2
1,12,1044,2
3,12,1045,2
4,12,1046,2
11,12,1047,2
5,12,1048,2
3,12,1049,2
1,12,1050,2
9,12,1051,2
6,12,1052,2
11,12,1053,2
3,12,1054,2
7,12,1055,2
6,12,1056,2
2,12,1057,2
5,12,1058,2
3,12,1059,2
6,12,1060,2
7,12,1061,2
1,12,1062,2
3,12,1063,2
1,12,1064,2
2,12,1065,2
1,12,1066,2
1,12,1067,2
15,12,1068,2
11,12,1069,2
9,12,1070,2
1,12,1071,2
1,12,1072,2
7,12,1073,2
1,12,1074,2
1,12,1075,2
7,12,1076,2
1,12,1077,2
1,12,1078,2
1,12,1079,2
2,12,1080,2
